customer_id,first_name,last_name,email,region,signup_date,segment
CUST001,Emily,Smith,emily.smith1@example.com,Asia-Pacific,2024-05-22,Mid-Market
CUST002,Emily,Moore,emily.moore2@example.com,North America,2024-02-02,SMB
CUST003,John,Williams,john.williams3@example.com,Europe,2025-09-08,Mid-Market
CUST004,John,Moore,john.moore4@example.com,Europe,2025-12-19,SMB
CUST005,Carol,Wilson,carol.wilson5@example.com,Europe,2024-10-11,Mid-Market
CUST006,John,Garcia,john.garcia6@example.com,Latin America,2024-06-08,Mid-Market
CUST007,James,Hernandez,james.hernandez7@example.com,North America,2024-04-09,Enterprise
CUST008,Lisa,Lopez,lisa.lopez8@example.com,Asia-Pacific,2025-04-15,SMB
CUST009,Carol,Brown,carol.brown9@example.com,Latin America,2024-10-27,Enterprise
CUST010,Ruth,Lopez,ruth.lopez10@example.com,Europe,2024-02-16,SMB
CUST011,Jessica,Martinez,jessica.martinez11@example.com,North America,2024-04-13,SMB
CUST012,Joseph,Rodriguez,joseph.rodriguez12@example.com,Latin America,2025-01-08,SMB
CUST013,Sarah,Lopez,sarah.lopez13@example.com,Asia-Pacific,2024-09-30,Mid-Market
CUST014,Michael,Martin,michael.martin14@example.com,Europe,2024-09-07,SMB
CUST015,Sarah,Anderson,sarah.anderson15@example.com,Latin America,2025-10-17,Mid-Market
CUST016,Carol,Davis,carol.davis16@example.com,Asia-Pacific,2024-02-27,SMB
CUST017,Jessica,Johnson,jessica.johnson17@example.com,Asia-Pacific,2024-03-08,Mid-Market
CUST018,James,Jackson,james.jackson18@example.com,Asia-Pacific,2025-05-26,Mid-Market
CUST019,Joseph,Anderson,joseph.anderson19@example.com,Europe,2024-09-09,Mid-Market
CUST020,Carol,Moore,carol.moore20@example.com,Asia-Pacific,2025-03-14,SMB
CUST021,Daniel,Gonzalez,daniel.gonzalez21@example.com,Asia-Pacific,2024-05-21,Mid-Market
CUST022,Charles,Thomas,charles.thomas22@example.com,North America,2024-04-22,SMB
CUST023,David,Garcia,david.garcia23@example.com,Latin America,2025-01-29,SMB
CUST024,Joseph,Martin,joseph.martin24@example.com,Latin America,2025-07-20,SMB
CUST025,John,Brown,john.brown25@example.com,Asia-Pacific,2024-12-14,SMB
CUST026,Emily,Martinez,emily.martinez26@example.com,Latin America,2024-01-04,Enterprise
CUST027,Robert,Taylor,robert.taylor27@example.com,Europe,2024-04-18,SMB
CUST028,Karen,Taylor,karen.taylor28@example.com,Europe,2024-06-14,Enterprise
CUST029,Carol,Taylor,carol.taylor29@example.com,North America,2025-05-15,SMB
CUST030,John,Brown,john.brown30@example.com,Asia-Pacific,2024-11-10,SMB
CUST031,Jessica,Johnson,jessica.johnson31@example.com,Europe,2024-03-21,SMB
